time,cid,rule,dir,bars,pnl_R,exit
2024-12-12 05:20:00,3,R1f_sma_reject,-1,27,-4.531758957654629,hard_sl
2024-12-12 05:30:00,3,R1a_swinghigh,-1,25,-4.109014675052427,hard_sl
2024-12-12 06:20:00,3,R1a_swinghigh,-1,31,-4.98097686375308,hard_sl
2024-12-12 07:50:00,3,R1a_swinghigh,-1,60,2.0792774711489694,max
2024-12-12 08:05:00,3,R1f_sma_reject,-1,10,-4.206999999999644,hard_sl
2024-12-12 09:15:00,3,R1a_swinghigh,-1,60,5.2743873137912525,max
2024-12-12 10:45:00,3,R1h_close_streak,-1,59,5.6788566624633905,ml_exit
2024-12-12 11:35:00,3,R1f_sma_reject,-1,59,16.324010170722953,ml_exit
2024-12-12 12:40:00,3,R1c_bouncefade,-1,60,17.92982456140351,max
2024-12-12 12:45:00,3,R1f_sma_reject,-1,60,15.806451612903066,max
2024-12-12 13:00:00,3,R1h_close_streak,-1,60,14.24398745207344,max
2024-12-12 14:35:00,3,R1f_sma_reject,-1,60,12.798084008843281,max
2024-12-12 14:45:00,3,R1h_close_streak,-1,60,13.750414593698528,max
2024-12-12 15:35:00,3,R1c_bouncefade,-1,60,7.66386981947615,max
2024-12-12 18:25:00,3,R1h_close_streak,-1,60,-0.8437437637198092,max
2024-12-12 23:25:00,3,R1c_bouncefade,-1,31,-5.001353179973211,hard_sl
2024-12-12 23:35:00,3,R1f_sma_reject,-1,29,-5.4687500000002425,hard_sl
2024-12-13 03:10:00,3,R1c_bouncefade,-1,60,1.6771208226220713,max
2024-12-13 05:35:00,3,R1c_bouncefade,-1,60,3.240322580645014,max
2024-12-13 07:35:00,3,R1c_bouncefade,-1,59,15.116250760802954,ml_exit
2024-12-13 07:40:00,3,R1e_false_breakout,-1,60,15.405590416428774,max
2024-12-13 08:05:00,3,R1f_sma_reject,-1,59,13.504682622268904,ml_exit
2024-12-13 08:50:00,3,R1e_false_breakout,-1,59,14.620992534035867,ml_exit
2024-12-13 09:15:00,3,R1f_sma_reject,-1,60,9.284395973154364,max
2024-12-13 09:55:00,3,R1d_overbought,-1,60,5.921366163622118,max
2024-12-13 10:55:00,3,R1h_close_streak,-1,60,6.3877186719031505,max
2024-12-13 14:10:00,3,R1c_bouncefade,-1,60,4.138830162085923,max
2024-12-13 14:45:00,3,R1a_swinghigh,-1,60,7.646973541137884,max
2024-12-13 17:50:00,3,R1c_bouncefade,-1,59,3.941098434597767,ml_exit
2024-12-13 18:45:00,3,R1c_bouncefade,-1,60,6.57764589515323,max
2024-12-13 19:00:00,3,R1h_close_streak,-1,60,5.794269934414884,max
2024-12-17 09:30:00,1,R0b_stoch,-1,60,7.257352941176362,max
2024-12-18 02:10:00,3,R1e_false_breakout,-1,60,2.026622296173247,max
2024-12-18 02:45:00,3,R1c_bouncefade,-1,60,0.7112540192925219,max
2024-12-18 03:00:00,3,R1e_false_breakout,-1,60,1.5813128326432144,max
2024-12-18 03:10:00,3,R1a_swinghigh,-1,60,3.355951056729569,max
2024-12-18 03:55:00,3,R1e_false_breakout,-1,60,2.709882139619327,max
2024-12-18 05:30:00,3,R1h_close_streak,-1,60,-1.004866180048934,max
2024-12-18 06:05:00,3,R1g_three_red,-1,20,-4.003722084367497,hard_sl
2024-12-18 07:00:00,3,R1f_sma_reject,-1,60,-1.7995079950797612,max
2024-12-18 08:10:00,3,R1h_close_streak,-1,60,-2.4458823529409464,max
2024-12-18 10:55:00,3,R1c_bouncefade,-1,60,2.1414296694849853,max
2024-12-18 12:55:00,3,R1b_lowerhigh,-1,60,8.550447761194508,max
2024-12-18 13:20:00,3,R1f_sma_reject,-1,60,9.810426540284286,max
2024-12-18 15:25:00,3,R1b_lowerhigh,-1,60,5.6204379562042055,max
2024-12-18 15:30:00,3,R1f_sma_reject,-1,60,4.268852459016075,max
2024-12-18 15:35:00,3,R1g_three_red,-1,60,4.334229390680704,max
2024-12-18 16:10:00,3,R1h_close_streak,-1,60,11.535275080905791,max
2024-12-18 16:15:00,3,R1g_three_red,-1,60,9.521613832852646,max
2024-12-18 19:30:00,3,R1c_bouncefade,-1,54,32.03642825410911,ml_exit
2024-12-20 01:45:00,0,R3e_false_breakdown,1,60,5.18433931484489,max
2024-12-20 02:30:00,0,R3g_three_green,1,60,3.4502369668246344,max
2024-12-20 03:00:00,0,R3e_false_breakdown,1,60,6.584538653366559,max
2024-12-20 03:10:00,0,R3g_three_green,1,60,1.4031531531531503,max
2024-12-20 03:20:00,0,R3c_breakpullback,1,60,1.858112695179805,max
2024-12-20 05:55:00,0,R3g_three_green,1,60,5.554433221100249,max
2024-12-20 07:25:00,0,R3e_false_breakdown,1,60,6.892307692308373,max
2024-12-20 07:30:00,0,R3d_oversold,1,60,4.720603015075705,max
2024-12-20 07:40:00,0,R3g_three_green,1,60,3.9200000000003783,max
2024-12-20 08:20:00,0,R3g_three_green,1,60,-1.3797729618162897,max
2024-12-20 08:35:00,0,R3c_breakpullback,1,60,-1.7444695259596061,max
2024-12-20 08:40:00,0,R3i_inside_break,1,60,-1.1422060164084313,max
2024-12-20 09:35:00,0,R3b_higherlow,1,59,0.7960238568587529,ml_exit
2024-12-20 09:45:00,0,R3g_three_green,1,60,-1.5442011354421366,max
2024-12-20 12:45:00,0,R3g_three_green,1,59,16.496767241380084,ml_exit
2024-12-20 13:00:00,0,R3e_false_breakdown,1,58,18.870212765958744,ml_exit
2024-12-20 15:05:00,0,R3g_three_green,1,59,12.96223776223823,ml_exit
2024-12-20 15:30:00,0,R3b_higherlow,1,59,8.180076628352648,ml_exit
2024-12-20 17:10:00,0,R3g_three_green,1,60,1.6485377116468674,max
2024-12-20 19:35:00,0,R3e_false_breakdown,1,60,0.1174004192871099,max
2024-12-23 01:30:00,0,R3f_sma_bounce,1,60,0.9138381201044379,max
2024-12-23 01:50:00,0,R3g_three_green,1,9,-4.197962154293988,hard_sl
2024-12-27 01:00:00,2,R0d_squeeze,1,60,0.976460331298725,max
2024-12-27 02:20:00,2,R0e_nr4_break,-1,60,-0.12472160356384386,max
2024-12-27 04:45:00,2,R0e_nr4_break,1,59,2.2112676056335494,ml_exit
2024-12-27 08:20:00,2,R0e_nr4_break,1,20,-4.6859846244827255,hard_sl
2024-12-27 12:40:00,2,R0h_3bar_reversal,1,39,-4.487708947885994,hard_sl
2024-12-30 01:00:00,2,R0e_nr4_break,1,60,3.2660300136423626,max
2024-12-30 02:00:00,2,R0e_nr4_break,1,60,-1.6718446601940962,max
2024-12-30 03:30:00,2,R0e_nr4_break,1,60,-2.8841530054643663,max
2024-12-30 04:50:00,2,R0e_nr4_break,1,47,-4.791035735918036,hard_sl
2024-12-30 06:15:00,2,R0h_3bar_reversal,1,30,-4.602015113350187,hard_sl
2024-12-30 16:00:00,2,R0h_3bar_reversal,1,29,-4.017793594306184,hard_sl
2024-12-30 23:30:00,2,R0e_nr4_break,-1,36,-4.437828371279004,hard_sl
2024-12-31 04:35:00,2,R0e_nr4_break,-1,60,-1.2874598070741265,max
2024-12-31 06:05:00,2,R0e_nr4_break,1,60,10.793128131711297,max
2024-12-31 07:20:00,2,R0e_nr4_break,1,6,-5.829296424452291,hard_sl
2024-12-31 07:50:00,2,R0d_squeeze,-1,7,-4.047619047618611,hard_sl
2024-12-31 15:00:00,2,R0e_nr4_break,-1,6,-4.225427350427329,hard_sl
2024-12-31 23:45:00,2,R0d_squeeze,-1,23,-4.644783118405894,hard_sl
2025-01-02 03:15:00,2,R0e_nr4_break,1,60,0.5736585365851292,max
2025-01-02 12:15:00,0,R3g_three_green,1,60,2.638667129469081,max
2025-01-02 13:05:00,0,R3g_three_green,1,60,3.3968253968253124,max
2025-01-02 13:35:00,0,R3d_oversold,1,59,8.257450331125412,ml_exit
2025-01-02 14:10:00,0,R3a_pullback,1,60,13.441192123468955,ml_exit
2025-01-02 14:25:00,0,R3h_close_streak,1,59,11.47912317327723,ml_exit
2025-01-02 14:30:00,0,R3f_sma_bounce,1,9,-4.254634146341287,hard_sl
2025-01-02 15:20:00,0,R3e_false_breakdown,1,60,8.164029706167167,max
